Employee_Number,Age,CF_age_band,Gender,Marital_Status,Department,Job_Role,Job_Level,Education,Education_Field,Total_Working_Years,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Job_Involvement,Performance_Rating,Over_Time,Business_Travel,Distance_From_Home,Training_Times_Last_Year,Num_Companies_Worked,Attrition,CF_attrition_label,CF_current_Employee,Hourly_Rate,Daily_Rate,Monthly_Rate,Employee_Count,Standard_Hours,Over18
STAFF-470,48,45 - 54,Female,Married,Finance,Financial Analyst,2,Master's Degree,Human Resources,21,0,0,0,0,6275,18,1,1,3,4,2,1,2,No,Non-Travel,5,0,1,Yes,Ex-Employees,0,84,822,10743,1,80,Y
STAFF-471,27,25 - 34,Female,Single,HR,HR Specialist,1,High School,Technical Degree,1,1,0,0,0,8505,11,0,3,1,1,3,2,2,No,Travel_Frequently,11,6,1,Yes,Ex-Employees,0,64,957,13319,1,80,Y
STAFF-472,37,35 - 44,Female,Single,Marketing,Marketing Manager,1,High School,Medical,10,0,0,0,0,4728,17,0,4,4,2,3,2,3,No,Non-Travel,1,4,1,No,Current Employees,1,66,1204,24510,1,80,Y
STAFF-473,41,35 - 44,Male,Divorced,R&D,Laboratory Technician,2,Master's Degree,Life Sciences,15,0,0,0,0,10158,17,0,4,1,4,4,4,3,No,Travel_Frequently,12,0,2,Yes,Ex-Employees,0,31,558,9748,1,80,Y
STAFF-474,24,Under 25,Female,Married,HR,Recruiter,1,Bachelor's Degree,Other,2,0,0,0,0,10220,16,1,3,3,1,1,1,3,Yes,Travel_Frequently,2,2,1,Yes,Ex-Employees,0,86,1026,12513,1,80,Y
STAFF-475,43,35 - 44,Male,Single,Finance,Accountant,1,Bachelor's Degree,Human Resources,13,1,0,0,1,6336,24,1,3,2,1,4,1,3,No,Non-Travel,9,4,3,No,Current Employees,1,59,576,18512,1,80,Y
STAFF-476,48,45 - 54,Female,Married,Marketing,Marketing Manager,3,High School,Medical,27,1,1,0,1,11833,10,1,1,4,4,1,3,2,No,Non-Travel,2,4,4,No,Current Employees,1,54,875,16762,1,80,Y
STAFF-477,28,25 - 34,Male,Married,R&D,Laboratory Technician,1,High School,Marketing,5,3,0,0,1,4836,15,1,3,2,2,3,4,3,No,Travel_Rarely,1,0,1,Yes,Ex-Employees,0,102,947,19456,1,80,Y
STAFF-478,39,35 - 44,Male,Single,Marketing,Marketing Manager,2,Master's Degree,Medical,10,1,1,0,1,11183,12,1,2,2,3,3,1,4,No,Travel_Rarely,12,5,4,No,Current Employees,1,43,1178,15851,1,80,Y
STAFF-479,25,25 - 34,Female,Single,HR,Recruiter,2,Bachelor's Degree,Other,2,2,1,0,1,14127,7,0,2,1,2,3,1,2,No,Travel_Rarely,5,5,2,Yes,Ex-Employees,0,30,321,21200,1,80,Y
STAFF-480,36,35 - 44,Female,Divorced,R&D,Laboratory Technician,1,PhD,Life Sciences,15,3,2,0,0,4957,27,0,1,1,4,2,4,3,No,Non-Travel,17,6,1,No,Current Employees,1,38,855,17807,1,80,Y
STAFF-481,33,25 - 34,Male,Married,Sales,Sales Executive,4,Bachelor's Degree,Other,17,0,0,0,0,12710,8,3,1,1,4,1,4,3,Yes,Travel_Rarely,25,1,2,Yes,Ex-Employees,0,30,425,13336,1,80,Y
STAFF-482,38,35 - 44,Female,Divorced,Sales,Manager,1,Bachelor's Degree,Other,20,0,0,0,0,6768,15,0,3,1,2,2,2,3,Yes,Non-Travel,4,3,3,No,Current Employees,1,34,214,24261,1,80,Y
STAFF-483,32,25 - 34,Male,Married,Marketing,Marketing Specialist,2,Master's Degree,Medical,7,3,1,0,2,10711,0,1,2,4,3,3,3,3,Yes,Non-Travel,1,0,4,Yes,Ex-Employees,0,89,1169,20222,1,80,Y
STAFF-484,47,45 - 54,Male,Single,IT,Data Analyst,2,High School,Marketing,28,1,1,0,0,9291,13,3,3,3,2,3,2,3,No,Non-Travel,1,4,1,Yes,Ex-Employees,0,30,1333,17419,1,80,Y
STAFF-485,34,25 - 34,Male,Single,IT,Software Engineer,1,High School,Medical,0,0,0,0,0,4748,16,3,3,1,4,2,4,3,No,Non-Travel,3,2,1,No,Current Employees,1,66,1090,15974,1,80,Y
STAFF-486,24,Under 25,Female,Divorced,Finance,Financial Analyst,3,Master's Degree,Medical,2,1,1,1,1,13452,19,2,1,1,2,2,3,3,No,Travel_Rarely,7,5,4,No,Current Employees,1,68,838,13920,1,80,Y
STAFF-487,46,45 - 54,Female,Married,HR,Recruiter,1,Bachelor's Degree,Marketing,33,0,0,0,0,7902,15,0,3,4,4,4,3,2,No,Non-Travel,14,6,5,No,Current Employees,1,51,169,14598,1,80,Y
STAFF-488,31,25 - 34,Male,Married,IT,Software Engineer,3,Master's Degree,Marketing,11,3,1,1,2,13408,17,0,3,2,3,1,3,1,No,Travel_Rarely,14,6,2,Yes,Ex-Employees,0,102,803,17130,1,80,Y
STAFF-489,25,25 - 34,Male,Single,Marketing,Marketing Specialist,1,Master's Degree,Other,2,2,0,0,0,6214,8,1,4,2,2,4,3,1,No,Travel_Rarely,1,1,2,Yes,Ex-Employees,0,55,1069,19875,1,80,Y
STAFF-490,58,Over 55,Male,Divorced,Sales,Sales Executive,4,Associates Degree,Medical,33,6,3,2,1,14428,14,1,4,4,3,4,3,3,No,Travel_Rarely,9,1,1,No,Current Employees,1,75,332,13059,1,80,Y
STAFF-491,34,25 - 34,Male,Divorced,HR,Recruiter,3,Associates Degree,Life Sciences,13,2,2,0,0,10279,21,0,4,2,1,4,4,3,Yes,Non-Travel,13,4,2,No,Current Employees,1,49,662,16746,1,80,Y
STAFF-492,38,35 - 44,Male,Married,HR,HR Manager,3,High School,Medical,9,1,0,0,0,16066,17,0,4,4,1,4,2,3,No,Non-Travel,1,0,1,No,Current Employees,1,100,195,17313,1,80,Y
STAFF-493,47,45 - 54,Male,Divorced,IT,Software Engineer,2,Bachelor's Degree,Life Sciences,31,2,2,0,2,7978,16,0,1,3,1,4,3,2,No,Non-Travel,6,1,2,No,Current Employees,1,40,315,16032,1,80,Y
STAFF-494,36,35 - 44,Male,Single,Finance,Finance Manager,3,PhD,Medical,13,0,0,0,0,11016,9,0,1,2,3,3,2,3,No,Travel_Rarely,4,3,3,No,Current Employees,1,77,715,8096,1,80,Y
STAFF-495,39,35 - 44,Female,Single,R&D,Manufacturing Director,3,Associates Degree,Human Resources,15,2,2,2,0,11177,10,0,2,3,4,3,1,4,Yes,Travel_Rarely,1,5,1,Yes,Ex-Employees,0,88,446,15749,1,80,Y
STAFF-496,39,35 - 44,Female,Single,Sales,Sales Executive,1,Bachelor's Degree,Technical Degree,17,0,0,0,0,7898,15,2,3,2,1,2,1,3,Yes,Non-Travel,1,2,1,No,Current Employees,1,76,100,9940,1,80,Y
STAFF-497,59,Over 55,Female,Single,HR,Recruiter,4,Bachelor's Degree,Human Resources,34,0,0,0,0,13990,8,0,2,1,1,1,4,4,No,Non-Travel,5,1,2,Yes,Ex-Employees,0,71,649,12733,1,80,Y
STAFF-498,41,35 - 44,Female,Divorced,Sales,Sales Representative,2,Bachelor's Degree,Life Sciences,14,1,1,1,1,7378,12,0,2,4,3,3,1,3,Yes,Travel_Rarely,3,3,1,No,Current Employees,1,60,745,20426,1,80,Y
STAFF-499,32,25 - 34,Female,Divorced,Marketing,Marketing Specialist,3,PhD,Medical,11,8,4,1,2,10681,10,2,4,2,4,3,4,3,No,Travel_Frequently,1,6,2,No,Current Employees,1,52,442,18987,1,80,Y
STAFF-500,18,Under 25,Male,Married,IT,IT Support,1,Bachelor's Degree,Medical,0,0,0,0,0,5525,12,0,3,3,4,1,2,4,No,Travel_Rarely,2,5,1,No,Current Employees,1,52,1133,16376,1,80,Y
STAFF-501,44,35 - 44,Male,Divorced,Marketing,Content Creator,2,Bachelor's Degree,Human Resources,23,0,0,0,0,9022,12,2,3,4,4,2,2,3,No,Travel_Frequently,2,1,1,No,Current Employees,1,54,942,12445,1,80,Y
STAFF-502,49,45 - 54,Female,Married,Sales,Manager,1,High School,Human Resources,28,0,0,0,0,6346,17,0,3,4,3,3,1,3,Yes,Non-Travel,1,1,1,No,Current Employees,1,126,927,6322,1,80,Y
STAFF-503,32,25 - 34,Female,Divorced,HR,HR Specialist,2,Bachelor's Degree,Medical,7,2,0,0,0,10716,7,0,4,4,2,2,2,3,Yes,Travel_Frequently,15,1,1,Yes,Ex-Employees,0,55,545,15549,1,80,Y
STAFF-504,49,45 - 54,Male,Divorced,Marketing,Marketing Specialist,1,Bachelor's Degree,Life Sciences,26,1,1,1,0,4582,23,0,4,1,4,4,2,4,No,Non-Travel,1,1,2,No,Current Employees,1,60,982,16835,1,80,Y
STAFF-505,34,25 - 34,Female,Single,IT,Data Analyst,3,Bachelor's Degree,Life Sciences,11,2,2,2,0,12720,14,1,2,3,3,1,3,3,No,Travel_Rarely,4,5,1,No,Current Employees,1,40,683,7414,1,80,Y
STAFF-506,37,35 - 44,Male,Married,R&D,Manufacturing Director,1,Associates Degree,Technical Degree,18,0,0,0,0,5557,16,0,2,4,4,4,4,4,Yes,Non-Travel,1,4,1,No,Current Employees,1,75,947,14544,1,80,Y
STAFF-507,20,Under 25,Male,Married,Sales,Sales Representative,2,Associates Degree,Other,3,1,1,1,1,6067,7,0,2,3,3,2,4,3,No,Non-Travel,3,4,2,No,Current Employees,1,75,1024,11206,1,80,Y
STAFF-508,41,35 - 44,Female,Single,Marketing,Content Creator,3,Bachelor's Degree,Life Sciences,19,3,1,1,0,11556,11,0,2,3,4,4,4,3,No,Travel_Rarely,1,0,3,No,Current Employees,1,68,938,16766,1,80,Y
STAFF-509,21,Under 25,Female,Single,R&D,Manufacturing Director,2,High School,Marketing,3,1,0,0,1,7654,14,1,1,4,3,2,2,1,Yes,Travel_Rarely,1,5,1,Yes,Ex-Employees,0,73,100,16498,1,80,Y
STAFF-510,18,Under 25,Male,Married,Sales,Sales Executive,1,Bachelor's Degree,Human Resources,1,0,0,0,0,9353,24,0,3,4,3,2,3,3,No,Non-Travel,2,3,4,Yes,Ex-Employees,0,56,1114,14548,1,80,Y
STAFF-511,51,45 - 54,Female,Married,R&D,Healthcare Representative,1,Bachelor's Degree,Marketing,24,19,0,0,1,5295,16,0,3,1,3,4,1,4,No,Travel_Rarely,17,5,1,No,Current Employees,1,87,802,19616,1,80,Y
STAFF-512,39,35 - 44,Female,Single,Finance,Financial Analyst,2,Bachelor's Degree,Life Sciences,18,3,0,0,2,7541,13,0,2,3,2,1,4,4,No,Travel_Rarely,6,0,1,No,Current Employees,1,54,375,18614,1,80,Y
STAFF-513,47,45 - 54,Female,Divorced,HR,HR Specialist,1,High School,Marketing,25,0,0,0,0,6174,11,1,3,3,3,2,1,2,No,Non-Travel,1,2,2,Yes,Ex-Employees,0,42,1077,13530,1,80,Y
STAFF-514,37,35 - 44,Male,Single,R&D,Manufacturing Director,1,Bachelor's Degree,Other,19,0,0,0,0,7951,16,0,2,4,1,4,3,3,Yes,Travel_Frequently,28,2,1,Yes,Ex-Employees,0,63,132,16684,1,80,Y
STAFF-515,39,35 - 44,Female,Single,IT,IT Support,3,Bachelor's Degree,Human Resources,16,4,0,0,0,10707,13,3,2,4,2,4,4,4,Yes,Travel_Rarely,1,3,2,No,Current Employees,1,86,862,18923,1,80,Y
STAFF-516,34,25 - 34,Male,Single,Marketing,Marketing Specialist,2,Bachelor's Degree,Other,6,1,1,1,0,8759,25,0,4,3,3,4,4,2,No,Travel_Frequently,14,6,2,Yes,Ex-Employees,0,99,293,17118,1,80,Y
STAFF-517,29,25 - 34,Female,Married,Sales,Sales Executive,1,PhD,Marketing,9,3,3,0,1,7023,12,1,2,2,4,3,1,4,Yes,Travel_Rarely,5,6,1,No,Current Employees,1,31,537,9730,1,80,Y
STAFF-518,42,35 - 44,Male,Divorced,Finance,Accountant,1,Master's Degree,Marketing,19,0,0,0,0,2842,13,0,1,1,3,1,2,3,No,Travel_Rarely,3,1,2,Yes,Ex-Employees,0,93,775,13884,1,80,Y
STAFF-519,30,25 - 34,Female,Single,IT,IT Support,4,Bachelor's Degree,Human Resources,17,0,0,0,0,14146,19,1,3,3,1,2,3,3,No,Non-Travel,13,2,1,No,Current Employees,1,53,663,15933,1,80,Y
STAFF-520,22,Under 25,Female,Married,Finance,Financial Analyst,2,Master's Degree,Marketing,0,0,0,0,0,8078,10,0,4,1,4,2,3,4,No,Travel_Frequently,5,3,2,Yes,Ex-Employees,0,63,1051,14496,1,80,Y
STAFF-521,25,25 - 34,Female,Married,Sales,Sales Executive,1,Bachelor's Degree,Marketing,0,0,0,0,0,6388,14,2,2,4,1,3,4,2,Yes,Non-Travel,5,0,2,Yes,Ex-Employees,0,43,461,27242,1,80,Y
STAFF-522,20,Under 25,Male,Single,Marketing,Marketing Specialist,1,Associates Degree,Life Sciences,2,2,0,0,0,8897,18,0,1,4,2,1,3,4,No,Travel_Rarely,3,1,3,No,Current Employees,1,71,792,15384,1,80,Y
STAFF-523,23,Under 25,Female,Married,R&D,Manufacturing Director,2,Associates Degree,Life Sciences,9,5,0,0,0,9459,18,1,4,4,4,1,1,3,No,Travel_Frequently,1,1,1,No,Current Employees,1,49,1421,14087,1,80,Y
STAFF-524,22,Under 25,Female,Divorced,HR,HR Specialist,1,Associates Degree,Marketing,0,0,0,0,0,5143,18,0,1,1,3,1,3,1,No,Non-Travel,11,6,1,Yes,Ex-Employees,0,75,555,25607,1,80,Y
STAFF-525,37,35 - 44,Male,Single,Sales,Sales Representative,2,Bachelor's Degree,Human Resources,12,4,1,1,1,8496,19,0,1,3,2,1,1,3,No,Non-Travel,15,5,1,No,Current Employees,1,73,1130,20138,1,80,Y
STAFF-526,37,35 - 44,Male,Married,R&D,Manufacturing Director,4,Bachelor's Degree,Life Sciences,17,6,3,1,0,10916,8,1,1,1,4,2,2,3,No,Non-Travel,2,0,3,No,Current Employees,1,78,526,19950,1,80,Y
STAFF-527,23,Under 25,Female,Married,R&D,Laboratory Technician,1,Bachelor's Degree,Life Sciences,0,0,0,0,0,5363,12,3,2,4,2,2,1,4,No,Non-Travel,9,1,2,Yes,Ex-Employees,0,99,1004,5000,1,80,Y
STAFF-528,54,45 - 54,Female,Divorced,Marketing,Marketing Specialist,1,Master's Degree,Technical Degree,30,2,1,0,1,4260,7,0,4,4,2,4,3,3,No,Travel_Rarely,1,0,3,Yes,Ex-Employees,0,46,1193,7088,1,80,Y
STAFF-529,27,25 - 34,Female,Divorced,Finance,Finance Manager,4,Bachelor's Degree,Life Sciences,5,2,0,0,0,11455,18,2,4,1,2,1,1,2,Yes,Non-Travel,1,3,1,Yes,Ex-Employees,0,92,686,21328,1,80,Y
STAFF-530,24,Under 25,Female,Single,Marketing,Marketing Specialist,1,PhD,Life Sciences,9,3,3,2,0,6861,15,3,1,3,1,3,4,2,No,Travel_Rarely,1,0,1,No,Current Employees,1,88,637,8176,1,80,Y
STAFF-531,32,25 - 34,Male,Single,HR,HR Specialist,3,High School,Life Sciences,17,0,0,0,0,13439,5,1,3,3,1,1,1,3,No,Travel_Rarely,11,1,3,Yes,Ex-Employees,0,59,347,15731,1,80,Y
STAFF-532,28,25 - 34,Male,Married,Marketing,Marketing Specialist,1,Associates Degree,Other,9,0,0,0,0,7229,15,1,3,3,1,2,2,1,No,Non-Travel,5,3,3,No,Current Employees,1,72,529,13801,1,80,Y
STAFF-533,35,35 - 44,Male,Divorced,HR,HR Specialist,1,PhD,Life Sciences,11,3,2,0,0,7966,13,0,2,3,2,4,3,3,No,Non-Travel,1,6,1,No,Current Employees,1,80,233,5000,1,80,Y
STAFF-534,45,45 - 54,Male,Married,Finance,Accountant,3,Master's Degree,Technical Degree,10,4,2,0,0,11411,10,1,4,1,4,4,3,3,No,Travel_Frequently,9,3,4,Yes,Ex-Employees,0,48,1358,22020,1,80,Y
STAFF-535,21,Under 25,Female,Divorced,R&D,Manufacturing Director,1,Bachelor's Degree,Marketing,3,0,0,0,0,3647,3,0,2,4,4,2,3,2,No,Travel_Frequently,5,0,2,Yes,Ex-Employees,0,74,1024,6565,1,80,Y
STAFF-536,32,25 - 34,Male,Single,HR,Recruiter,2,Associates Degree,Medical,12,0,0,0,0,8706,18,0,3,2,4,4,4,4,Yes,Non-Travel,5,2,5,Yes,Ex-Employees,0,63,636,14511,1,80,Y
STAFF-537,47,45 - 54,Female,Divorced,IT,Software Engineer,2,Bachelor's Degree,Human Resources,36,0,0,0,0,8599,15,0,2,2,3,2,3,3,No,Non-Travel,17,2,3,Yes,Ex-Employees,0,30,643,15401,1,80,Y
STAFF-538,24,Under 25,Female,Divorced,Marketing,Content Creator,2,Associates Degree,Medical,0,0,0,0,0,8184,13,0,1,4,3,3,3,3,No,Travel_Frequently,8,2,1,No,Current Employees,1,59,1171,18975,1,80,Y
STAFF-539,26,25 - 34,Female,Divorced,Sales,Manager,1,Associates Degree,Marketing,3,0,0,0,0,6487,7,3,2,4,1,2,3,3,Yes,Travel_Rarely,10,3,3,Yes,Ex-Employees,0,61,490,18526,1,80,Y
STAFF-540,44,35 - 44,Male,Single,Marketing,Content Creator,2,Bachelor's Degree,Medical,23,0,0,0,0,7656,10,0,3,4,4,3,1,3,Yes,Non-Travel,6,4,4,No,Current Employees,1,51,892,16942,1,80,Y
STAFF-541,26,25 - 34,Male,Single,HR,HR Specialist,2,Associates Degree,Other,4,2,2,0,0,10699,19,0,3,1,3,3,1,3,No,Non-Travel,5,2,2,No,Current Employees,1,79,1556,21821,1,80,Y
STAFF-542,18,Under 25,Female,Married,R&D,Healthcare Representative,2,Bachelor's Degree,Human Resources,0,0,0,0,0,9949,5,0,4,4,1,4,3,1,Yes,Travel_Frequently,5,5,1,No,Current Employees,1,65,522,8443,1,80,Y
STAFF-543,18,Under 25,Male,Married,Marketing,Marketing Manager,1,High School,Life Sciences,0,0,0,0,0,7943,12,1,2,3,2,4,4,3,Yes,Non-Travel,3,3,1,Yes,Ex-Employees,0,64,339,12032,1,80,Y
STAFF-544,47,45 - 54,Female,Single,R&D,Laboratory Technician,2,Bachelor's Degree,Medical,26,6,5,0,1,8988,18,2,3,1,4,3,2,3,No,Travel_Frequently,1,0,1,No,Current Employees,1,33,528,11590,1,80,Y
STAFF-545,30,25 - 34,Female,Married,Finance,Financial Analyst,1,High School,Technical Degree,4,4,0,0,0,9509,21,1,1,1,4,1,2,3,No,Non-Travel,2,5,3,No,Current Employees,1,62,1115,16734,1,80,Y
STAFF-546,22,Under 25,Male,Single,IT,Software Engineer,2,Master's Degree,Life Sciences,0,0,0,0,0,11728,16,3,1,3,1,2,3,3,No,Travel_Frequently,1,0,1,Yes,Ex-Employees,0,100,755,7405,1,80,Y
STAFF-547,35,35 - 44,Female,Married,Finance,Accountant,2,Bachelor's Degree,Human Resources,9,0,0,0,0,6849,14,0,1,2,1,1,4,2,No,Travel_Rarely,9,5,1,No,Current Employees,1,50,892,23061,1,80,Y
STAFF-548,46,45 - 54,Male,Single,Marketing,Marketing Specialist,1,Master's Degree,Other,21,1,0,0,0,8400,20,0,3,3,3,3,4,3,No,Travel_Rarely,11,1,7,No,Current Employees,1,55,759,14670,1,80,Y
STAFF-549,30,25 - 34,Male,Divorced,Marketing,Content Creator,2,High School,Medical,9,0,0,0,0,9197,14,2,2,1,3,1,3,3,Yes,Travel_Rarely,2,0,2,No,Current Employees,1,67,836,20420,1,80,Y
STAFF-550,47,45 - 54,Male,Divorced,R&D,Research Scientist,1,Associates Degree,Technical Degree,19,1,0,0,1,7264,14,1,1,1,1,3,3,3,No,Travel_Frequently,12,2,4,Yes,Ex-Employees,0,75,834,14769,1,80,Y
STAFF-551,33,25 - 34,Female,Divorced,Finance,Financial Analyst,1,PhD,Medical,12,1,1,0,1,6816,10,0,1,1,4,3,2,3,No,Travel_Rarely,1,0,2,Yes,Ex-Employees,0,49,940,12060,1,80,Y
STAFF-552,33,25 - 34,Male,Married,IT,IT Support,4,Bachelor's Degree,Technical Degree,12,3,0,0,0,11106,18,3,2,2,2,4,4,3,No,Non-Travel,2,4,1,No,Current Employees,1,30,680,17109,1,80,Y
STAFF-553,26,25 - 34,Male,Single,HR,HR Specialist,2,High School,Other,5,3,1,0,3,9021,15,0,1,1,4,3,2,3,No,Travel_Rarely,12,6,1,Yes,Ex-Employees,0,68,780,14973,1,80,Y
STAFF-554,25,25 - 34,Female,Single,Finance,Accountant,2,Associates Degree,Human Resources,0,0,0,0,0,9297,4,0,2,1,1,2,2,4,Yes,Travel_Frequently,1,1,1,No,Current Employees,1,63,1023,15037,1,80,Y
STAFF-555,52,45 - 54,Male,Divorced,R&D,Research Scientist,2,Bachelor's Degree,Technical Degree,35,12,0,0,3,6526,22,1,1,2,1,1,2,3,No,Travel_Rarely,1,2,2,No,Current Employees,1,100,1032,9378,1,80,Y
STAFF-556,19,Under 25,Female,Married,R&D,Manufacturing Director,2,Master's Degree,Other,3,0,0,0,0,10408,11,1,1,3,1,2,4,3,Yes,Travel_Rarely,39,3,1,Yes,Ex-Employees,0,42,576,15029,1,80,Y
STAFF-557,43,35 - 44,Male,Married,Sales,Manager,1,Bachelor's Degree,Marketing,30,1,0,0,1,6433,9,3,1,1,3,3,3,2,No,Non-Travel,2,4,3,Yes,Ex-Employees,0,61,887,16635,1,80,Y
STAFF-558,36,35 - 44,Female,Single,Sales,Manager,2,High School,Medical,20,7,2,2,0,5678,19,1,2,3,1,3,3,3,No,Travel_Rarely,3,1,2,No,Current Employees,1,65,974,5972,1,80,Y
STAFF-559,45,45 - 54,Male,Divorced,Marketing,Marketing Specialist,1,Master's Degree,Medical,16,5,0,0,0,6342,7,2,4,1,1,4,1,2,No,Travel_Rarely,4,5,1,Yes,Ex-Employees,0,43,761,23627,1,80,Y
STAFF-560,36,35 - 44,Male,Divorced,Finance,Finance Manager,3,Master's Degree,Other,8,0,0,0,0,10220,2,0,4,2,1,4,2,3,Yes,Travel_Frequently,6,4,2,Yes,Ex-Employees,0,55,613,19049,1,80,Y
STAFF-561,19,Under 25,Female,Divorced,IT,Software Engineer,2,Master's Degree,Technical Degree,7,7,2,0,2,5065,14,0,2,3,4,1,2,4,Yes,Non-Travel,6,0,2,Yes,Ex-Employees,0,86,1113,10310,1,80,Y
STAFF-562,50,45 - 54,Female,Married,Finance,Finance Manager,1,High School,Marketing,24,3,0,0,3,6719,19,0,2,1,2,3,1,4,Yes,Travel_Rarely,1,1,3,No,Current Employees,1,34,471,18850,1,80,Y
STAFF-563,60,Over 55,Female,Divorced,Marketing,Content Creator,2,Associates Degree,Other,29,1,1,0,0,10950,3,1,2,4,3,2,4,3,Yes,Travel_Rarely,3,1,5,Yes,Ex-Employees,0,52,713,5548,1,80,Y
STAFF-564,27,25 - 34,Female,Divorced,R&D,Healthcare Representative,1,Associates Degree,Human Resources,8,1,1,1,1,8841,6,2,2,1,4,2,2,3,Yes,Travel_Frequently,4,6,2,Yes,Ex-Employees,0,41,522,17385,1,80,Y
STAFF-565,34,25 - 34,Female,Single,Marketing,Marketing Specialist,2,High School,Life Sciences,17,5,1,0,5,6684,7,0,1,3,2,1,3,3,No,Travel_Frequently,3,1,2,Yes,Ex-Employees,0,61,925,17621,1,80,Y
STAFF-566,56,Over 55,Female,Single,Marketing,Marketing Specialist,1,Bachelor's Degree,Medical,35,0,0,0,0,6293,12,1,1,2,3,2,1,3,No,Non-Travel,5,6,1,Yes,Ex-Employees,0,72,1104,17254,1,80,Y
STAFF-567,36,35 - 44,Male,Single,Finance,Financial Analyst,4,Bachelor's Degree,Marketing,15,2,0,0,2,12038,11,1,3,4,2,3,1,3,No,Non-Travel,1,5,1,No,Current Employees,1,100,991,9177,1,80,Y
STAFF-568,43,35 - 44,Female,Divorced,IT,Software Engineer,1,Master's Degree,Life Sciences,17,1,1,0,1,6351,6,2,2,1,2,3,2,3,Yes,Travel_Frequently,4,0,1,Yes,Ex-Employees,0,45,100,10272,1,80,Y
STAFF-569,31,25 - 34,Female,Married,R&D,Manufacturing Director,2,Bachelor's Degree,Human Resources,9,2,1,1,0,10555,0,1,3,3,3,2,2,3,No,Travel_Rarely,11,1,2,No,Current Employees,1,39,1365,7277,1,80,Y
STAFF-570,46,45 - 54,Female,Single,Sales,Sales Representative,3,Bachelor's Degree,Human Resources,24,12,2,0,1,11752,18,0,2,4,1,2,1,3,No,Non-Travel,2,2,1,No,Current Employees,1,96,951,15376,1,80,Y
STAFF-571,38,35 - 44,Female,Single,Marketing,Marketing Manager,2,Master's Degree,Human Resources,20,3,0,0,1,11501,11,0,3,2,4,2,4,2,Yes,Travel_Rarely,20,5,2,Yes,Ex-Employees,0,79,403,30482,1,80,Y
STAFF-572,35,35 - 44,Female,Married,Sales,Sales Representative,2,Associates Degree,Marketing,17,4,4,0,1,9283,13,0,1,1,2,2,4,3,No,Non-Travel,5,6,1,Yes,Ex-Employees,0,50,1379,21332,1,80,Y
STAFF-573,27,25 - 34,Female,Married,Sales,Sales Executive,1,Associates Degree,Human Resources,8,2,2,2,2,3755,19,0,2,3,2,4,3,3,No,Non-Travel,3,6,2,Yes,Ex-Employees,0,65,1146,12443,1,80,Y
STAFF-574,37,35 - 44,Female,Single,Sales,Sales Representative,1,Master's Degree,Other,10,0,0,0,0,8314,17,0,4,2,4,1,3,3,No,Travel_Rarely,24,1,2,No,Current Employees,1,55,745,21706,1,80,Y
STAFF-575,35,35 - 44,Male,Married,Marketing,Marketing Manager,3,Master's Degree,Other,16,8,1,0,0,11810,13,0,3,3,2,4,2,3,Yes,Travel_Rarely,1,0,1,No,Current Employees,1,85,977,8711,1,80,Y
STAFF-576,46,45 - 54,Male,Single,Marketing,Marketing Manager,2,High School,Technical Degree,24,3,3,1,0,8343,6,0,2,1,4,2,3,4,No,Non-Travel,8,2,3,Yes,Ex-Employees,0,57,474,17335,1,80,Y
STAFF-577,36,35 - 44,Male,Single,HR,HR Manager,4,Associates Degree,Marketing,19,1,1,1,0,13733,26,1,2,3,2,1,1,3,No,Travel_Rarely,1,5,1,No,Current Employees,1,60,288,16401,1,80,Y
STAFF-578,47,45 - 54,Female,Divorced,Finance,Finance Manager,1,Bachelor's Degree,Life Sciences,25,0,0,0,0,8865,17,0,3,3,2,4,3,4,No,Travel_Rarely,9,2,3,Yes,Ex-Employees,0,61,426,10867,1,80,Y
STAFF-579,26,25 - 34,Female,Married,IT,Data Analyst,2,High School,Other,12,0,0,0,0,8662,11,1,3,2,3,4,3,3,No,Travel_Frequently,30,3,3,Yes,Ex-Employees,0,35,716,20583,1,80,Y
STAFF-580,24,Under 25,Female,Married,Finance,Accountant,4,Associates Degree,Medical,8,8,0,0,1,9741,14,2,3,2,4,2,1,3,Yes,Non-Travel,1,4,1,Yes,Ex-Employees,0,115,347,13839,1,80,Y
STAFF-581,27,25 - 34,Female,Married,Finance,Accountant,3,Bachelor's Degree,Technical Degree,11,0,0,0,0,7942,9,1,1,2,4,3,1,2,No,Travel_Rarely,7,5,2,No,Current Employees,1,56,791,11710,1,80,Y
STAFF-582,45,45 - 54,Female,Married,IT,Software Engineer,3,Bachelor's Degree,Other,25,1,1,0,0,12909,14,1,2,3,4,2,1,3,No,Travel_Rarely,5,2,4,No,Current Employees,1,83,400,12556,1,80,Y
STAFF-583,64,Over 55,Male,Single,R&D,Laboratory Technician,2,Associates Degree,Other,40,13,1,0,1,9044,14,1,1,1,4,2,1,1,Yes,Non-Travel,1,5,2,Yes,Ex-Employees,0,63,1052,11121,1,80,Y
STAFF-584,37,35 - 44,Male,Single,IT,Data Analyst,3,Associates Degree,Technical Degree,20,0,0,0,0,8467,11,2,2,2,1,3,4,3,No,Travel_Rarely,5,3,1,No,Current Employees,1,69,924,17660,1,80,Y
